| iter:   180/960 | topk: 240 | alpha: 0.500 | norm: l2 | MAP: 0.0591 |
| iter:   181/960 | topk: 240 | alpha: 0.500 | norm: l1 | MAP: 0.0583 |
| iter:   182/960 | topk: 240 | alpha: 0.500 | norm: max | MAP: 0.0588 |
| iter:   183/960 | topk: 240 | alpha: 0.520 | norm: l2 | MAP: 0.0596 |
| iter:   184/960 | topk: 240 | alpha: 0.520 | norm: l1 | MAP: 0.0584 |
| iter:   185/960 | topk: 240 | alpha: 0.520 | norm: max | MAP: 0.0591 |
| iter:   186/960 | topk: 240 | alpha: 0.540 | norm: l2 | MAP: 0.0598 |
| iter:   187/960 | topk: 240 | alpha: 0.540 | norm: l1 | MAP: 0.0585 |
| iter:   188/960 | topk: 240 | alpha: 0.540 | norm: max | MAP: 0.0592 |
| iter:   189/960 | topk: 240 | alpha: 0.560 | norm: l2 | MAP: 0.0601 |
| iter:   190/960 | topk: 240 | alpha: 0.560 | norm: l1 | MAP: 0.0585 |
| iter:   191/960 | topk: 240 | alpha: 0.560 | norm: max | MAP: 0.0593 |
| iter:   192/960 | topk: 240 | alpha: 0.580 | norm: l2 | MAP: 0.0601 |
| iter:   193/960 | topk: 240 | alpha: 0.580 | norm: l1 | MAP: 0.0587 |
| iter:   194/960 | topk: 240 | alpha: 0.580 | norm: max | MAP: 0.0592 |
| iter:   195/960 | topk: 240 | alpha: 0.600 | norm: l2 | MAP: 0.0601 |
| iter:   196/960 | topk: 240 | alpha: 0.600 | norm: l1 | MAP: 0.0590 |
| iter:   197/960 | topk: 240 | alpha: 0.600 | norm: max | MAP: 0.0595 |
| iter:   198/960 | topk: 240 | alpha: 0.620 | norm: l2 | MAP: 0.0603 |
| iter:   199/960 | topk: 240 | alpha: 0.620 | norm: l1 | MAP: 0.0591 |
| iter:   200/960 | topk: 240 | alpha: 0.620 | norm: max | MAP: 0.0598 |
| iter:   201/960 | topk: 240 | alpha: 0.640 | norm: l2 | MAP: 0.0603 |
| iter:   202/960 | topk: 240 | alpha: 0.640 | norm: l1 | MAP: 0.0590 |
| iter:   203/960 | topk: 240 | alpha: 0.640 | norm: max | MAP: 0.0597 |
| iter:   204/960 | topk: 240 | alpha: 0.660 | norm: l2 | MAP: 0.0601 |
| iter:   205/960 | topk: 240 | alpha: 0.660 | norm: l1 | MAP: 0.0593 |
| iter:   206/960 | topk: 240 | alpha: 0.660 | norm: max | MAP: 0.0597 |
| iter:   207/960 | topk: 240 | alpha: 0.680 | norm: l2 | MAP: 0.0602 |
| iter:   208/960 | topk: 240 | alpha: 0.680 | norm: l1 | MAP: 0.0591 |
| iter:   209/960 | topk: 240 | alpha: 0.680 | norm: max | MAP: 0.0597 |
| iter:   210/960 | topk: 250 | alpha: 0.500 | norm: l2 | MAP: 0.0591 |
| iter:   211/960 | topk: 250 | alpha: 0.500 | norm: l1 | MAP: 0.0582 |
| iter:   212/960 | topk: 250 | alpha: 0.500 | norm: max | MAP: 0.0589 |
| iter:   213/960 | topk: 250 | alpha: 0.520 | norm: l2 | MAP: 0.0596 |
| iter:   214/960 | topk: 250 | alpha: 0.520 | norm: l1 | MAP: 0.0583 |
| iter:   215/960 | topk: 250 | alpha: 0.520 | norm: max | MAP: 0.0591 |
| iter:   216/960 | topk: 250 | alpha: 0.540 | norm: l2 | MAP: 0.0599 |
| iter:   217/960 | topk: 250 | alpha: 0.540 | norm: l1 | MAP: 0.0585 |
| iter:   218/960 | topk: 250 | alpha: 0.540 | norm: max | MAP: 0.0591 |
| iter:   219/960 | topk: 250 | alpha: 0.560 | norm: l2 | MAP: 0.0601 |
| iter:   220/960 | topk: 250 | alpha: 0.560 | norm: l1 | MAP: 0.0586 |
| iter:   221/960 | topk: 250 | alpha: 0.560 | norm: max | MAP: 0.0593 |
| iter:   222/960 | topk: 250 | alpha: 0.580 | norm: l2 | MAP: 0.0601 |
| iter:   223/960 | topk: 250 | alpha: 0.580 | norm: l1 | MAP: 0.0587 |
| iter:   224/960 | topk: 250 | alpha: 0.580 | norm: max | MAP: 0.0593 |
| iter:   225/960 | topk: 250 | alpha: 0.600 | norm: l2 | MAP: 0.0601 |
| iter:   226/960 | topk: 250 | alpha: 0.600 | norm: l1 | MAP: 0.0591 |
| iter:   227/960 | topk: 250 | alpha: 0.600 | norm: max | MAP: 0.0595 |
| iter:   228/960 | topk: 250 | alpha: 0.620 | norm: l2 | MAP: 0.0603 |
| iter:   229/960 | topk: 250 | alpha: 0.620 | norm: l1 | MAP: 0.0592 |
| iter:   230/960 | topk: 250 | alpha: 0.620 | norm: max | MAP: 0.0599 |
| iter:   231/960 | topk: 250 | alpha: 0.640 | norm: l2 | MAP: 0.0603 |
| iter:   232/960 | topk: 250 | alpha: 0.640 | norm: l1 | MAP: 0.0590 |
| iter:   233/960 | topk: 250 | alpha: 0.640 | norm: max | MAP: 0.0598 |
| iter:   234/960 | topk: 250 | alpha: 0.660 | norm: l2 | MAP: 0.0601 |
| iter:   235/960 | topk: 250 | alpha: 0.660 | norm: l1 | MAP: 0.0593 |
| iter:   236/960 | topk: 250 | alpha: 0.660 | norm: max | MAP: 0.0597 |
| iter:   237/960 | topk: 250 | alpha: 0.680 | norm: l2 | MAP: 0.0602 |
| iter:   238/960 | topk: 250 | alpha: 0.680 | norm: l1 | MAP: 0.0592 |
| iter:   239/960 | topk: 250 | alpha: 0.680 | norm: max | MAP: 0.0597 |
| iter:   240/960 | topk: 260 | alpha: 0.500 | norm: l2 | MAP: 0.0591 |
| iter:   241/960 | topk: 260 | alpha: 0.500 | norm: l1 | MAP: 0.0583 |
| iter:   242/960 | topk: 260 | alpha: 0.500 | norm: max | MAP: 0.0588 |
| iter:   243/960 | topk: 260 | alpha: 0.520 | norm: l2 | MAP: 0.0596 |
| iter:   244/960 | topk: 260 | alpha: 0.520 | norm: l1 | MAP: 0.0583 |
| iter:   245/960 | topk: 260 | alpha: 0.520 | norm: max | MAP: 0.0590 |
| iter:   246/960 | topk: 260 | alpha: 0.540 | norm: l2 | MAP: 0.0599 |
| iter:   247/960 | topk: 260 | alpha: 0.540 | norm: l1 | MAP: 0.0585 |
| iter:   248/960 | topk: 260 | alpha: 0.540 | norm: max | MAP: 0.0591 |
| iter:   249/960 | topk: 260 | alpha: 0.560 | norm: l2 | MAP: 0.0601 |
| iter:   250/960 | topk: 260 | alpha: 0.560 | norm: l1 | MAP: 0.0586 |
| iter:   251/960 | topk: 260 | alpha: 0.560 | norm: max | MAP: 0.0594 |
| iter:   252/960 | topk: 260 | alpha: 0.580 | norm: l2 | MAP: 0.0601 |
| iter:   253/960 | topk: 260 | alpha: 0.580 | norm: l1 | MAP: 0.0587 |
| iter:   254/960 | topk: 260 | alpha: 0.580 | norm: max | MAP: 0.0594 |
