|UserKNNCF| iter:   169/189 | topk: 140 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0544 |
|UserKNNCF| iter:   170/189 | topk: 140 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0549 |
|UserKNNCF| iter:   171/189 | topk: 140 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0545 |
|UserKNNCF| iter:   172/189 | topk: 140 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0546 |
|UserKNNCF| iter:   173/189 | topk: 140 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0545 |
|UserKNNCF| iter:   174/189 | topk: 140 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0544 |
|UserKNNCF| iter:   175/189 | topk: 160 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0497 |
|UserKNNCF| iter:   176/189 | topk: 160 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0539 |
|UserKNNCF| iter:   177/189 | topk: 160 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0545 |
|UserKNNCF| iter:   178/189 | topk: 160 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0540 |
|UserKNNCF| iter:   179/189 | topk: 160 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0540 |
|UserKNNCF| iter:   180/189 | topk: 160 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0541 |
|UserKNNCF| iter:   181/189 | topk: 160 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0541 |
|UserKNNCF| iter:   182/189 | topk: 180 | shrink:   0 | sim type: 'jaccard' | MAP: 0.0496 |
|UserKNNCF| iter:   183/189 | topk: 180 | shrink:  20 | sim type: 'jaccard' | MAP: 0.0538 |
|UserKNNCF| iter:   184/189 | topk: 180 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0543 |
|UserKNNCF| iter:   185/189 | topk: 180 | shrink:  60 | sim type: 'jaccard' | MAP: 0.0538 |
|UserKNNCF| iter:   186/189 | topk: 180 | shrink:  80 | sim type: 'jaccard' | MAP: 0.0538 |
|UserKNNCF| iter:   187/189 | topk: 180 | shrink: 100 | sim type: 'jaccard' | MAP: 0.0538 |
|UserKNNCF| iter:   188/189 | topk: 180 | shrink: 120 | sim type: 'jaccard' | MAP: 0.0539 |
|UserKNNCF| best results | topk:  60 | shrink:  40 | sim type: 'splus' | MAP: 0.0556 |
