14-12-2020-21:17:51
HMR(ItemKNNCF,P3alpha,UserKNNCF,IALS)
|iter:   197/2500 | vec: [0.71028667 0.07153943 0.1722919  0.045882  ] | norm: none | MAP: 0.0549 |
|iter:   198/2500 | vec: [0.00859427 0.1813428  0.55754795 0.25251499] | norm: none | MAP: 0.0596 |
|iter:   199/2500 | vec: [0.0444062  0.34557098 0.16283997 0.44718285] | norm: none | MAP: 0.0595 |
|iter:   200/2500 | vec: [0.08775273 0.05244898 0.83966889 0.0201294 ] | norm: none | MAP: 0.0590 |
|iter:   201/2500 | vec: [0.23314953 0.44570061 0.19175431 0.12939555] | norm: none | MAP: 0.0586 |
|iter:   202/2500 | vec: [0.33942175 0.25826801 0.05120572 0.35110451] | norm: none | MAP: 0.0588 |
|iter:   203/2500 | vec: [0.06347256 0.02597804 0.31725343 0.59329596] | norm: none | MAP: 0.0627 |
|iter:   204/2500 | vec: [0.07987266 0.21429361 0.50101677 0.20481697] | norm: none | MAP: 0.0595 |
|iter:   205/2500 | vec: [0.1078317  0.46497834 0.18706929 0.24012068] | norm: none | MAP: 0.0590 |
|iter:   206/2500 | vec: [0.43879791 0.10549832 0.3595433  0.09616047] | norm: none | MAP: 0.0570 |
|iter:   207/2500 | vec: [0.31352875 0.08796863 0.47192712 0.1265755 ] | norm: none | MAP: 0.0584 |
|iter:   208/2500 | vec: [0.48905201 0.02883393 0.18972729 0.29238678] | norm: none | MAP: 0.0555 |
|iter:   209/2500 | vec: [0.52168081 0.18679831 0.20284805 0.08867283] | norm: none | MAP: 0.0572 |
|iter:   210/2500 | vec: [0.40478781 0.29940894 0.15010133 0.14570192] | norm: none | MAP: 0.0583 |
|iter:   211/2500 | vec: [0.708572   0.23150405 0.02772042 0.03220353] | norm: none | MAP: 0.0567 |
|iter:   212/2500 | vec: [0.406301   0.20835978 0.22694335 0.15839587] | norm: none | MAP: 0.0581 |
|iter:   213/2500 | vec: [0.0083393  0.59049175 0.17453193 0.22663702] | norm: none | MAP: 0.0590 |
|iter:   214/2500 | vec: [0.08035324 0.01984728 0.45670266 0.44309681] | norm: none | MAP: 0.0614 |
|iter:   215/2500 | vec: [0.00215447 0.01230709 0.10704391 0.87849452] | norm: none | MAP: 0.0614 |
|iter:   216/2500 | vec: [0.15221174 0.59264405 0.09680444 0.15833977] | norm: none | MAP: 0.0589 |
|iter:   217/2500 | vec: [0.46254305 0.28165871 0.09593799 0.15986025] | norm: none | MAP: 0.0580 |
|iter:   218/2500 | vec: [0.49761725 0.26054141 0.11237197 0.12946937] | norm: none | MAP: 0.0577 |
|iter:   219/2500 | vec: [0.63367051 0.11096114 0.09634634 0.15902201] | norm: none | MAP: 0.0560 |
|iter:   220/2500 | vec: [0.44369899 0.46789132 0.06423917 0.02417051] | norm: none | MAP: 0.0586 |
|iter:   221/2500 | vec: [0.09920478 0.36318201 0.14674263 0.39087057] | norm: none | MAP: 0.0595 |
|iter:   222/2500 | vec: [0.31787756 0.25197648 0.32245376 0.10769221] | norm: none | MAP: 0.0583 |
|iter:   223/2500 | vec: [0.024147   0.19743136 0.63665028 0.14177135] | norm: none | MAP: 0.0597 |
|iter:   224/2500 | vec: [0.03518535 0.32632079 0.31894384 0.31955001] | norm: none | MAP: 0.0593 |
|iter:   225/2500 | vec: [0.21778773 0.55781763 0.05305744 0.1713372 ] | norm: none | MAP: 0.0586 |
|iter:   226/2500 | vec: [0.39246516 0.4122237  0.12619272 0.06911841] | norm: none | MAP: 0.0582 |
|iter:   227/2500 | vec: [0.24660977 0.12433257 0.06288908 0.56616858] | norm: none | MAP: 0.0594 |
|iter:   228/2500 | vec: [0.46058595 0.23272169 0.20758201 0.09911036] | norm: none | MAP: 0.0578 |
|iter:   229/2500 | vec: [0.10106975 0.54408586 0.16662883 0.18821556] | norm: none | MAP: 0.0589 |
|iter:   230/2500 | vec: [0.34043966 0.01793585 0.54374592 0.09787857] | norm: none | MAP: 0.0568 |
|iter:   231/2500 | vec: [0.37420759 0.36988992 0.24435188 0.01155061] | norm: none | MAP: 0.0581 |
|iter:   232/2500 | vec: [0.38551227 0.21448043 0.13475755 0.26524975] | norm: none | MAP: 0.0583 |
|iter:   233/2500 | vec: [0.463825   0.20995827 0.22320902 0.1030077 ] | norm: none | MAP: 0.0575 |
|iter:   234/2500 | vec: [0.03687513 0.19741567 0.74480029 0.02090891] | norm: none | MAP: 0.0592 |
|iter:   235/2500 | vec: [0.2855456  0.24435507 0.36750271 0.10259661] | norm: none | MAP: 0.0583 |
|iter:   236/2500 | vec: [0.06972328 0.07780049 0.41815873 0.4343175 ] | norm: none | MAP: 0.0607 |
|iter:   237/2500 | vec: [0.59424472 0.11583063 0.16832106 0.12160359] | norm: none | MAP: 0.0562 |
|iter:   238/2500 | vec: [0.26587906 0.06145744 0.31157305 0.36109045] | norm: none | MAP: 0.0586 |
|iter:   239/2500 | vec: [0.36363928 0.09149717 0.14528825 0.39957529] | norm: none | MAP: 0.0580 |
