13-12-2020-01:00:35
HMR(Hsim(ItemKNNCF, ItemKNNCB),P3alpha,Hsim(UserKNNCF, UserKNNCB),Hsim(SLIM_MSE, SLIM_BPR),PureSVD,IALS)
|iter:    89/2500 | vec: [0.05854519 0.00690846 0.10333771 0.31170882 0.07296271 0.44653711] | norm: l2 | MAP: 0.0632 |
|iter:    90/2500 | vec: [0.16896144 0.14763849 0.31080338 0.01068624 0.02744784 0.33446261] | norm: l2 | MAP: 0.0676 |
|iter:    91/2500 | vec: [0.56260591 0.01930172 0.35246276 0.00368337 0.03441111 0.02753513] | norm: l2 | MAP: 0.0721 |
|iter:    92/2500 | vec: [0.08132342 0.11480456 0.56477097 0.13394675 0.03088563 0.07426867] | norm: l2 | MAP: 0.0636 |
|iter:    93/2500 | vec: [0.00307241 0.01366383 0.27086994 0.34475029 0.13814052 0.22950301] | norm: l2 | MAP: 0.0608 |
|iter:    94/2500 | vec: [0.03923688 0.38670182 0.17929107 0.06335217 0.24738999 0.08402808] | norm: l2 | MAP: 0.0614 |
|iter:    95/2500 | vec: [0.05797607 0.0222484  0.25463843 0.05496556 0.52292563 0.08724591] | norm: l2 | MAP: 0.0549 |
|iter:    96/2500 | vec: [0.02576688 0.18662625 0.20207229 0.32563229 0.02154289 0.2383594 ] | norm: l2 | MAP: 0.0622 |
|iter:    97/2500 | vec: [0.31517894 0.05826603 0.09723341 0.15509381 0.04520041 0.32902739] | norm: l2 | MAP: 0.0706 |
|iter:    98/2500 | vec: [0.23710674 0.383443   0.11796859 0.14445695 0.04263085 0.07439387] | norm: l2 | MAP: 0.0672 |
|iter:    99/2500 | vec: [0.24392051 0.59591305 0.03078014 0.00969522 0.01302785 0.10666324] | norm: l2 | MAP: 0.0669 |
|iter:   100/2500 | vec: [0.3026717  0.04900108 0.1247325  0.13935385 0.34977609 0.03446478] | norm: l2 | MAP: 0.0648 |
|iter:   101/2500 | vec: [0.00358547 0.17084568 0.10612439 0.08355405 0.3577367  0.27815372] | norm: l2 | MAP: 0.0582 |
|iter:   102/2500 | vec: [1.34191163e-02 1.21578553e-01 2.44705351e-01 3.68032487e-01
 2.83069570e-05 2.52236186e-01] | norm: l2 | MAP: 0.0614 |
|iter:   103/2500 | vec: [0.00711891 0.18454382 0.14674209 0.48900464 0.16091566 0.01167488] | norm: l2 | MAP: 0.0597 |
|iter:   104/2500 | vec: [0.23416544 0.06208525 0.37628233 0.00674469 0.08265603 0.23806626] | norm: l2 | MAP: 0.0682 |
|iter:   105/2500 | vec: [0.02667573 0.16387134 0.18839741 0.20868508 0.32832179 0.08404865] | norm: l2 | MAP: 0.0597 |
|iter:   106/2500 | vec: [0.06674204 0.13092096 0.21439737 0.02436854 0.53531218 0.0282589 ] | norm: l2 | MAP: 0.0559 |
|iter:   107/2500 | vec: [0.00867095 0.39322424 0.23940533 0.04268341 0.06099142 0.25502466] | norm: l2 | MAP: 0.0621 |
|iter:   108/2500 | vec: [1.11192806e-01 3.54422405e-02 6.86400570e-02 2.22816299e-01
