12-12-2020-01:12:31
HMR(Hsim(ItemKNNCF, ItemKNNCB),Hsim(UserKNNCF, UserKNNCB),Hsim(P3alpha, RP3beta),Hsim(SLIM_MSE, SLIM_BPR),PureSVD)
|iter:   148/2500 | vec: [0.57183658 0.01018701 0.04895765 0.36788809 0.00113067] | norm: none | MAP: 0.0703 |
|iter:   149/2500 | vec: [0.2789216  0.31837566 0.09342893 0.04761948 0.26165433] | norm: none | MAP: 0.0687 |
|iter:   150/2500 | vec: [0.1021328  0.02267359 0.41319925 0.35568782 0.10630653] | norm: none | MAP: 0.0618 |
|iter:   151/2500 | vec: [0.40078133 0.11186508 0.23729646 0.10468707 0.14537007] | norm: none | MAP: 0.0682 |
|iter:   152/2500 | vec: [0.0503303  0.80274806 0.08344464 0.02615371 0.03732328] | norm: none | MAP: 0.0619 |
|iter:   153/2500 | vec: [0.00322988 0.28642476 0.189174   0.36018228 0.16098909] | norm: none | MAP: 0.0612 |
|iter:   154/2500 | vec: [0.26923881 0.20414813 0.258094   0.08950096 0.1790181 ] | norm: none | MAP: 0.0666 |
|iter:   155/2500 | vec: [0.12563027 0.24615309 0.12009829 0.33298063 0.17513772] | norm: none | MAP: 0.0655 |
|iter:   156/2500 | vec: [0.05406574 0.38268329 0.03996047 0.41861721 0.10467329] | norm: none | MAP: 0.0630 |
|iter:   157/2500 | vec: [0.08955758 0.37112775 0.18410566 0.05531692 0.29989208] | norm: none | MAP: 0.0629 |
|iter:   158/2500 | vec: [0.19436386 0.15157694 0.13735314 0.40951294 0.10719312] | norm: none | MAP: 0.0670 |
|iter:   159/2500 | vec: [0.30644151 0.0649294  0.14573912 0.124171   0.35871897] | norm: none | MAP: 0.0677 |
|iter:   160/2500 | vec: [0.35639733 0.03312705 0.1430842  0.37136409 0.09602732] | norm: none | MAP: 0.0692 |
|iter:   161/2500 | vec: [0.48826631 0.06264853 0.17976852 0.2197045  0.04961213] | norm: none | MAP: 0.0700 |
|iter:   162/2500 | vec: [0.00262836 0.10220848 0.52866507 0.0796506  0.28684749] | norm: none | MAP: 0.0596 |
|iter:   163/2500 | vec: [0.05946112 0.12956474 0.04835578 0.39057134 0.37204702] | norm: none | MAP: 0.0602 |
|iter:   164/2500 | vec: [0.33826489 0.08474997 0.34188379 0.0747851  0.16031626] | norm: none | MAP: 0.0659 |
|iter:   165/2500 | vec: [0.1457585  0.13757611 0.01861069 0.31299425 0.38506045] | norm: none | MAP: 0.0636 |
|iter:   166/2500 | vec: [0.31013834 0.3408504  0.06075156 0.05279636 0.23546334] | norm: none | MAP: 0.0693 |
|iter:   167/2500 | vec: [0.50112852 0.04892705 0.14957452 0.13484228 0.16552763] | norm: none | MAP: 0.0709 |
|iter:   168/2500 | vec: [0.04029677 0.09590054 0.06946263 0.4257858  0.36855426] | norm: none | MAP: 0.0596 |
|iter:   169/2500 | vec: [0.20507999 0.34435068 0.05795748 0.26271393 0.12989792] | norm: none | MAP: 0.0671 |
|iter:   170/2500 | vec: [0.40486551 0.2295884  0.2069429  0.0274733  0.13112989] | norm: none | MAP: 0.0688 |
|iter:   171/2500 | vec: [0.45409659 0.31206842 0.10912705 0.01733493 0.10737302] | norm: none | MAP: 0.0713 |
|iter:   172/2500 | vec: [0.17242962 0.13075196 0.11551689 0.18908144 0.39222008] | norm: none | MAP: 0.0644 |
|iter:   173/2500 | vec: [0.14397663 0.08964754 0.26774104 0.00692877 0.49170602] | norm: none | MAP: 0.0626 |
|iter:   174/2500 | vec: [0.02839691 0.11604479 0.28656642 0.05931687 0.50967501] | norm: none | MAP: 0.0597 |
|iter:   175/2500 | vec: [0.01777543 0.12105593 0.02276172 0.43940277 0.39900415] | norm: none | MAP: 0.0571 |
|iter:   176/2500 | vec: [0.11715262 0.05134144 0.33844059 0.10246172 0.39060362] | norm: none | MAP: 0.0629 |
|iter:   177/2500 | vec: [0.23003671 0.2563711  0.00993537 0.35523659 0.14842023] | norm: none | MAP: 0.0694 |
|iter:   178/2500 | vec: [0.04463632 0.09755228 0.08264709 0.10878713 0.66637719] | norm: none | MAP: 0.0557 |
|iter:   179/2500 | vec: [0.0841553  0.27653086 0.14943755 0.40845457 0.08142173] | norm: none | MAP: 0.0640 |
|iter:   180/2500 | vec: [0.04288483 0.36827711 0.00677547 0.45832893 0.12373365] | norm: none | MAP: 0.0621 |
|iter:   181/2500 | vec: [0.0715448  0.80438375 0.00911154 0.11017333 0.00478658] | norm: none | MAP: 0.0625 |
|iter:   182/2500 | vec: [0.1047835  0.02462982 0.12336392 0.48998004 0.25724273] | norm: none | MAP: 0.0639 |
|iter:   183/2500 | vec: [0.12600095 0.2583354  0.31494678 0.14312541 0.15759146] | norm: none | MAP: 0.0636 |
|iter:   184/2500 | vec: [0.06000019 0.16926532 0.05631701 0.47646152 0.23795597] | norm: none | MAP: 0.0618 |
|iter:   185/2500 | vec: [0.1367583  0.49844861 0.17214564 0.12075781 0.07188965] | norm: none | MAP: 0.0646 |
|iter:   186/2500 | vec: [0.04431052 0.32106096 0.01546903 0.2040234  0.41513608] | norm: none | MAP: 0.0593 |
|iter:   187/2500 | vec: [0.4964472  0.01701732 0.1642256  0.10180535 0.22050454] | norm: none | MAP: 0.0705 |
|iter:   188/2500 | vec: [0.06059074 0.03395204 0.19914378 0.62314525 0.08316819] | norm: none | MAP: 0.0633 |
|iter:   189/2500 | vec: [0.56747512 0.13327755 0.09502266 0.0065517  0.19767297] | norm: none | MAP: 0.0717 |
|iter:   190/2500 | vec: [0.26470316 0.59413446 0.04058351 0.09135706 0.00922182] | norm: none | MAP: 0.0677 |
|iter:   191/2500 | vec: [0.04173815 0.36447393 0.17801847 0.13376442 0.28200504] | norm: none | MAP: 0.0617 |
|iter:   192/2500 | vec: [0.47559271 0.17007331 0.11372094 0.23677991 0.00383314] | norm: none | MAP: 0.0713 |
|iter:   193/2500 | vec: [0.01590253 0.1400923  0.09365482 0.6037108  0.14663956] | norm: none | MAP: 0.0615 |
|iter:   194/2500 | vec: [0.12903413 0.37528937 0.09842441 0.34860533 0.04864675] | norm: none | MAP: 0.0653 |
|iter:   195/2500 | vec: [0.11137303 0.13855695 0.27608345 0.08654746 0.38743911] | norm: none | MAP: 0.0624 |
|iter:   196/2500 | vec: [0.05047224 0.03237361 0.66881855 0.08855305 0.15978255] | norm: none | MAP: 0.0598 |
|iter:   197/2500 | vec: [0.12530604 0.11030997 0.01168979 0.30640023 0.44629397] | norm: none | MAP: 0.0614 |
|iter:   198/2500 | vec: [0.42041344 0.08383037 0.188469   0.104131   0.20315619] | norm: none | MAP: 0.0697 |
|iter:   199/2500 | vec: [0.52155269 0.05315203 0.15723891 0.05613193 0.21192444] | norm: none | MAP: 0.0708 |
|iter:   200/2500 | vec: [0.06500153 0.36366962 0.22969776 0.23711644 0.10451465] | norm: none | MAP: 0.0630 |
|iter:   201/2500 | vec: [0.12530453 0.02242533 0.20559633 0.0200214  0.62665241] | norm: none | MAP: 0.0598 |
|iter:   202/2500 | vec: [0.28155971 0.14283119 0.37045954 0.1948292  0.01032036] | norm: none | MAP: 0.0644 |
|iter:   203/2500 | vec: [0.08265976 0.12271526 0.23348226 0.0306754  0.53046732] | norm: none | MAP: 0.0602 |
|iter:   204/2500 | vec: [0.15164414 0.20307374 0.11966865 0.3977062  0.12790727] | norm: none | MAP: 0.0660 |
|iter:   205/2500 | vec: [0.00196229 0.26092099 0.13496662 0.21889232 0.38325778] | norm: none | MAP: 0.0593 |
|iter:   206/2500 | vec: [0.01785185 0.09154908 0.02235611 0.18707579 0.68116716] | norm: none | MAP: 0.0525 |
|iter:   207/2500 | vec: [0.02035154 0.15315146 0.03206409 0.3542888  0.44014411] | norm: none | MAP: 0.0571 |
|iter:   208/2500 | vec: [0.00640345 0.09642076 0.03959652 0.44079798 0.41678131] | norm: none | MAP: 0.0562 |
|iter:   209/2500 | vec: [0.12114407 0.46206539 0.05383032 0.2903801  0.07258013] | norm: none | MAP: 0.0650 |
|iter:   210/2500 | vec: [0.04228984 0.44457555 0.18125512 0.01055327 0.32132622] | norm: none | MAP: 0.0615 |
|iter:   211/2500 | vec: [0.25906219 0.19906513 0.28255166 0.0626503  0.19667071] | norm: none | MAP: 0.0660 |
