19-12-2020-03:18:06
|UserKNNCB| iter:   206/2340 | topk: 110 | shrink:  60 | sim type: splus | MAP: 0.0525 |
|UserKNNCB| iter:   207/2340 | topk: 110 | shrink:  70 | sim type: splus | MAP: 0.0525 |
|UserKNNCB| iter:   208/2340 | topk: 110 | shrink:  80 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   209/2340 | topk: 110 | shrink:  90 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:   210/2340 | topk: 110 | shrink: 100 | sim type: splus | MAP: 0.0521 |
|UserKNNCB| iter:   211/2340 | topk: 110 | shrink: 110 | sim type: splus | MAP: 0.0524 |
|UserKNNCB| iter:   212/2340 | topk: 110 | shrink: 120 | sim type: splus | MAP: 0.0516 |
|UserKNNCB| iter:   213/2340 | topk: 110 | shrink: 130 | sim type: splus | MAP: 0.0520 |
|UserKNNCB| iter:   214/2340 | topk: 110 | shrink: 140 | sim type: splus | MAP: 0.0521 |
|UserKNNCB| iter:   215/2340 | topk: 110 | shrink: 150 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:   216/2340 | topk: 110 | shrink: 160 | sim type: splus | MAP: 0.0524 |
|UserKNNCB| iter:   217/2340 | topk: 110 | shrink: 170 | sim type: splus | MAP: 0.0527 |
|UserKNNCB| iter:   218/2340 | topk: 110 | shrink: 180 | sim type: splus | MAP: 0.0528 |
|UserKNNCB| iter:   219/2340 | topk: 110 | shrink: 190 | sim type: splus | MAP: 0.0529 |
|UserKNNCB| iter:   220/2340 | topk: 120 | shrink:   0 | sim type: splus | MAP: 0.0520 |
|UserKNNCB| iter:   221/2340 | topk: 120 | shrink:  10 | sim type: splus | MAP: 0.0525 |
|UserKNNCB| iter:   222/2340 | topk: 120 | shrink:  20 | sim type: splus | MAP: 0.0526 |
|UserKNNCB| iter:   223/2340 | topk: 120 | shrink:  30 | sim type: splus | MAP: 0.0530 |
|UserKNNCB| iter:   224/2340 | topk: 120 | shrink:  40 | sim type: splus | MAP: 0.0518 |
|UserKNNCB| iter:   225/2340 | topk: 120 | shrink:  50 | sim type: splus | MAP: 0.0519 |
|UserKNNCB| iter:   226/2340 | topk: 120 | shrink:  60 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:   227/2340 | topk: 120 | shrink:  70 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:   228/2340 | topk: 120 | shrink:  80 | sim type: splus | MAP: 0.0519 |
|UserKNNCB| iter:   229/2340 | topk: 120 | shrink:  90 | sim type: splus | MAP: 0.0525 |
|UserKNNCB| iter:   230/2340 | topk: 120 | shrink: 100 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:   231/2340 | topk: 120 | shrink: 110 | sim type: splus | MAP: 0.0520 |
|UserKNNCB| iter:   232/2340 | topk: 120 | shrink: 120 | sim type: splus | MAP: 0.0520 |
|UserKNNCB| iter:   233/2340 | topk: 120 | shrink: 130 | sim type: splus | MAP: 0.0517 |
|UserKNNCB| iter:   234/2340 | topk: 120 | shrink: 140 | sim type: splus | MAP: 0.0521 |
|UserKNNCB| iter:   235/2340 | topk: 120 | shrink: 150 | sim type: splus | MAP: 0.0523 |
|UserKNNCB| iter:   236/2340 | topk: 120 | shrink: 160 | sim type: splus | MAP: 0.0522 |
|UserKNNCB| iter:   237/2340 | topk: 120 | shrink: 170 | sim type: splus | MAP: 0.0520 |
|UserKNNCB| iter:   238/2340 | topk: 120 | shrink: 180 | sim type: splus | MAP: 0.0521 |
|UserKNNCB| iter:   239/2340 | topk: 120 | shrink: 190 | sim type: splus | MAP: 0.0523 |
