19-12-2020-01:05:37
|UserKNNCF| iter:   137/1740 | topk:  70 | shrink: 170 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   138/1740 | topk:  70 | shrink: 180 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   139/1740 | topk:  70 | shrink: 190 | sim type: splus | MAP: 0.0566 |
|UserKNNCF| iter:   140/1740 | topk:  80 | shrink:   0 | sim type: splus | MAP: 0.0508 |
|UserKNNCF| iter:   141/1740 | topk:  80 | shrink:  10 | sim type: splus | MAP: 0.0544 |
|UserKNNCF| iter:   142/1740 | topk:  80 | shrink:  20 | sim type: splus | MAP: 0.0549 |
|UserKNNCF| iter:   143/1740 | topk:  80 | shrink:  30 | sim type: splus | MAP: 0.0553 |
|UserKNNCF| iter:   144/1740 | topk:  80 | shrink:  40 | sim type: splus | MAP: 0.0554 |
|UserKNNCF| iter:   145/1740 | topk:  80 | shrink:  50 | sim type: splus | MAP: 0.0559 |
|UserKNNCF| iter:   146/1740 | topk:  80 | shrink:  60 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   147/1740 | topk:  80 | shrink:  70 | sim type: splus | MAP: 0.0562 |
|UserKNNCF| iter:   148/1740 | topk:  80 | shrink:  80 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   149/1740 | topk:  80 | shrink:  90 | sim type: splus | MAP: 0.0564 |
|UserKNNCF| iter:   150/1740 | topk:  80 | shrink: 100 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   151/1740 | topk:  80 | shrink: 110 | sim type: splus | MAP: 0.0561 |
|UserKNNCF| iter:   152/1740 | topk:  80 | shrink: 120 | sim type: splus | MAP: 0.0562 |
|UserKNNCF| iter:   153/1740 | topk:  80 | shrink: 130 | sim type: splus | MAP: 0.0565 |
|UserKNNCF| iter:   154/1740 | topk:  80 | shrink: 140 | sim type: splus | MAP: 0.0563 |
|UserKNNCF| iter:   155/1740 | topk:  80 | shrink: 150 | sim type: splus | MAP: 0.0564 |
