18-12-2020-09:11:05
HMR(ItemKNNCB,RP3beta,P3alpha,UserKNNCF,UserKNNCB,IALS)
|iter:   176/2500 | vec: [0.07906783 0.37180409 0.01423421 0.13916408 0.06649744 0.32923236] | norm: none | MAP: 0.0633 |
|iter:   177/2500 | vec: [0.03067655 0.04228855 0.65279343 0.06319415 0.15519968 0.05584764] | norm: none | MAP: 0.0609 |
|iter:   178/2500 | vec: [0.00954721 0.48502239 0.17515037 0.24567264 0.00567502 0.07893237] | norm: none | MAP: 0.0602 |
|iter:   179/2500 | vec: [0.09712666 0.13529777 0.12379794 0.35284009 0.05384829 0.23708925] | norm: none | MAP: 0.0645 |
|iter:   180/2500 | vec: [0.17549581 0.15122959 0.2344199  0.27991309 0.15080367 0.00813794] | norm: none | MAP: 0.0650 |
|iter:   181/2500 | vec: [0.02687474 0.10579596 0.10338186 0.44506803 0.10648855 0.21239087] | norm: none | MAP: 0.0625 |
|iter:   182/2500 | vec: [0.33612247 0.03210348 0.14985746 0.21682606 0.05372436 0.21136617] | norm: none | MAP: 0.0743 |
|iter:   183/2500 | vec: [0.11828072 0.21311248 0.14341065 0.25387783 0.26242596 0.00889236] | norm: none | MAP: 0.0641 |
|iter:   184/2500 | vec: [0.47422475 0.10110672 0.17856269 0.06051471 0.06266151 0.12292963] | norm: none | MAP: 0.0743 |
|iter:   185/2500 | vec: [0.24913133 0.04906334 0.28246894 0.24132762 0.13109722 0.04691155] | norm: none | MAP: 0.0675 |
|iter:   186/2500 | vec: [0.09855363 0.30370422 0.10342795 0.01420294 0.40598217 0.0741291 ] | norm: none | MAP: 0.0636 |
|iter:   187/2500 | vec: [0.10300383 0.13719491 0.11019659 0.32724119 0.06627132 0.25609217] | norm: none | MAP: 0.0646 |
|iter:   188/2500 | vec: [0.01114153 0.14411258 0.18176016 0.21074797 0.06054035 0.39169741] | norm: none | MAP: 0.0612 |
|iter:   189/2500 | vec: [0.19764987 0.25862017 0.04009254 0.43534381 0.04241798 0.02587563] | norm: none | MAP: 0.0668 |
|iter:   190/2500 | vec: [0.2902969  0.00736182 0.05252792 0.03305551 0.09079254 0.52596531] | norm: none | MAP: 0.0764 |
|iter:   191/2500 | vec: [0.01380714 0.35553484 0.13649734 0.1670653  0.06218015 0.26491524] | norm: none | MAP: 0.0609 |
|iter:   192/2500 | vec: [0.0819303  0.20621357 0.03533731 0.28521074 0.34553078 0.04577731] | norm: none | MAP: 0.0647 |
|iter:   193/2500 | vec: [0.02070938 0.42592629 0.03210368 0.18716095 0.33129901 0.00280068] | norm: none | MAP: 0.0616 |
|iter:   194/2500 | vec: [0.29710041 0.01499748 0.17010048 0.44387777 0.01930799 0.05461588] | norm: none | MAP: 0.0721 |
|iter:   195/2500 | vec: [0.27182211 0.21546284 0.25358662 0.12845085 0.05663224 0.07404534] | norm: none | MAP: 0.0665 |
|iter:   196/2500 | vec: [0.18616771 0.65228103 0.05441222 0.03885133 0.0571683  0.01111941] | norm: none | MAP: 0.0629 |
|iter:   197/2500 | vec: [0.04453447 0.40287768 0.02748675 0.03943896 0.42263222 0.06302992] | norm: none | MAP: 0.0623 |
