13-12-2020-11:52:44
| iter:   257/320 | topk: 160 | alpha: 0.440 | beta: 0.060 | MAP: 0.0581 |
| iter:   258/320 | topk: 160 | alpha: 0.440 | beta: 0.090 | MAP: 0.0576 |
| iter:   259/320 | topk: 160 | alpha: 0.440 | beta: 0.120 | MAP: 0.0570 |
| iter:   260/320 | topk: 170 | alpha: 0.350 | beta: 0.000 | MAP: 0.0585 |
| iter:   261/320 | topk: 170 | alpha: 0.350 | beta: 0.030 | MAP: 0.0587 |
| iter:   262/320 | topk: 170 | alpha: 0.350 | beta: 0.060 | MAP: 0.0585 |
| iter:   263/320 | topk: 170 | alpha: 0.350 | beta: 0.090 | MAP: 0.0587 |
| iter:   264/320 | topk: 170 | alpha: 0.350 | beta: 0.120 | MAP: 0.0588 |
| iter:   265/320 | topk: 170 | alpha: 0.380 | beta: 0.000 | MAP: 0.0587 |
| iter:   266/320 | topk: 170 | alpha: 0.380 | beta: 0.030 | MAP: 0.0584 |
| iter:   267/320 | topk: 170 | alpha: 0.380 | beta: 0.060 | MAP: 0.0585 |
| iter:   268/320 | topk: 170 | alpha: 0.380 | beta: 0.090 | MAP: 0.0585 |
| iter:   269/320 | topk: 170 | alpha: 0.380 | beta: 0.120 | MAP: 0.0583 |
| iter:   270/320 | topk: 170 | alpha: 0.410 | beta: 0.000 | MAP: 0.0583 |
| iter:   271/320 | topk: 170 | alpha: 0.410 | beta: 0.030 | MAP: 0.0583 |
| iter:   272/320 | topk: 170 | alpha: 0.410 | beta: 0.060 | MAP: 0.0580 |
| iter:   273/320 | topk: 170 | alpha: 0.410 | beta: 0.090 | MAP: 0.0582 |
| iter:   274/320 | topk: 170 | alpha: 0.410 | beta: 0.120 | MAP: 0.0576 |
| iter:   275/320 | topk: 170 | alpha: 0.440 | beta: 0.000 | MAP: 0.0579 |
| iter:   276/320 | topk: 170 | alpha: 0.440 | beta: 0.030 | MAP: 0.0581 |
| iter:   277/320 | topk: 170 | alpha: 0.440 | beta: 0.060 | MAP: 0.0579 |
| iter:   278/320 | topk: 170 | alpha: 0.440 | beta: 0.090 | MAP: 0.0575 |
| iter:   279/320 | topk: 170 | alpha: 0.440 | beta: 0.120 | MAP: 0.0574 |
| iter:   280/320 | topk: 180 | alpha: 0.350 | beta: 0.000 | MAP: 0.0586 |
| iter:   281/320 | topk: 180 | alpha: 0.350 | beta: 0.030 | MAP: 0.0588 |
| iter:   282/320 | topk: 180 | alpha: 0.350 | beta: 0.060 | MAP: 0.0584 |
| iter:   283/320 | topk: 180 | alpha: 0.350 | beta: 0.090 | MAP: 0.0585 |
| iter:   284/320 | topk: 180 | alpha: 0.350 | beta: 0.120 | MAP: 0.0587 |
| iter:   285/320 | topk: 180 | alpha: 0.380 | beta: 0.000 | MAP: 0.0587 |
| iter:   286/320 | topk: 180 | alpha: 0.380 | beta: 0.030 | MAP: 0.0584 |
| iter:   287/320 | topk: 180 | alpha: 0.380 | beta: 0.060 | MAP: 0.0585 |
| iter:   288/320 | topk: 180 | alpha: 0.380 | beta: 0.090 | MAP: 0.0585 |
| iter:   289/320 | topk: 180 | alpha: 0.380 | beta: 0.120 | MAP: 0.0583 |
