17-12-2020-08:45:23
HMR(ItemKNNCF,ItemKNNCB,RP3beta,UserKNNCB,PureSVD)
|iter:   128/2500 | vec: [0.30834033 0.00508331 0.09757222 0.24862738 0.34037675] | norm: none | MAP: 0.0601 |
|iter:   129/2500 | vec: [0.04626927 0.27560174 0.43990618 0.01681005 0.22141276] | norm: none | MAP: 0.0667 |
|iter:   130/2500 | vec: [0.17493911 0.02836079 0.32941931 0.03043401 0.43684677] | norm: none | MAP: 0.0621 |
|iter:   131/2500 | vec: [0.12265139 0.35000569 0.11405176 0.33567758 0.07761358] | norm: none | MAP: 0.0747 |
|iter:   132/2500 | vec: [0.20550541 0.29155698 0.37177388 0.11530179 0.01586194] | norm: none | MAP: 0.0662 |
|iter:   133/2500 | vec: [0.16518205 0.19583378 0.29033103 0.12869324 0.2199599 ] | norm: none | MAP: 0.0659 |
|iter:   134/2500 | vec: [0.10388059 0.21711774 0.26301324 0.21131591 0.20467251] | norm: none | MAP: 0.0678 |
|iter:   135/2500 | vec: [0.17820954 0.31132211 0.12911593 0.22620723 0.15514518] | norm: none | MAP: 0.0719 |
|iter:   136/2500 | vec: [0.27515506 0.20608843 0.03341913 0.44389455 0.04144283] | norm: none | MAP: 0.0684 |
|iter:   137/2500 | vec: [0.06420106 0.15245371 0.22584747 0.52594349 0.03155428] | norm: none | MAP: 0.0667 |
|iter:   138/2500 | vec: [0.01485862 0.28257752 0.25360573 0.38892645 0.06003167] | norm: none | MAP: 0.0709 |
|iter:   139/2500 | vec: [0.75643577 0.03279594 0.06841064 0.09685366 0.04550399] | norm: none | MAP: 0.0571 |
|iter:   140/2500 | vec: [0.00792092 0.18717634 0.67775864 0.0976623  0.0294818 ] | norm: none | MAP: 0.0632 |
|iter:   141/2500 | vec: [0.09207834 0.07364239 0.33037273 0.25556677 0.24833976] | norm: none | MAP: 0.0639 |
|iter:   142/2500 | vec: [0.57025646 0.04407765 0.13433112 0.06885473 0.18248004] | norm: none | MAP: 0.0598 |
|iter:   143/2500 | vec: [0.11349396 0.44659721 0.08196008 0.29825115 0.05969761] | norm: none | MAP: 0.0743 |
|iter:   144/2500 | vec: [0.36568607 0.18682491 0.06908287 0.34673756 0.03166859] | norm: none | MAP: 0.0644 |
|iter:   145/2500 | vec: [0.22079432 0.25631973 0.13631075 0.13474875 0.25182644] | norm: none | MAP: 0.0692 |
|iter:   146/2500 | vec: [0.17423967 0.01618173 0.01599768 0.65175616 0.14182476] | norm: none | MAP: 0.0616 |
|iter:   147/2500 | vec: [0.31053308 0.12904073 0.12587281 0.32865759 0.10589579] | norm: none | MAP: 0.0635 |
|iter:   148/2500 | vec: [0.01707597 0.06417099 0.02015899 0.59624268 0.30235136] | norm: none | MAP: 0.0671 |
|iter:   149/2500 | vec: [0.20796163 0.01543154 0.118449   0.46159005 0.19656777] | norm: none | MAP: 0.0617 |
|iter:   150/2500 | vec: [0.25767321 0.24107875 0.10005814 0.00157605 0.39961386] | norm: none | MAP: 0.0684 |
|iter:   151/2500 | vec: [0.3844303  0.08104622 0.30840812 0.18333486 0.0427805 ] | norm: none | MAP: 0.0617 |
|iter:   152/2500 | vec: [0.19093634 0.44444187 0.23193432 0.12673236 0.00595511] | norm: none | MAP: 0.0719 |
|iter:   153/2500 | vec: [0.09827798 0.30849272 0.38594113 0.13233915 0.07494903] | norm: none | MAP: 0.0676 |
|iter:   154/2500 | vec: [0.39006099 0.02530651 0.14285617 0.25395627 0.18782006] | norm: none | MAP: 0.0604 |
|iter:   155/2500 | vec: [0.03942984 0.16335294 0.1335891  0.50225    0.16137811] | norm: none | MAP: 0.0700 |
|iter:   156/2500 | vec: [0.19377576 0.01248336 0.0703076  0.29987541 0.42355787] | norm: none | MAP: 0.0610 |
|iter:   157/2500 | vec: [0.19658259 0.12090588 0.01093513 0.63194979 0.03962661] | norm: none | MAP: 0.0670 |
|iter:   158/2500 | vec: [0.51929988 0.03139575 0.28932577 0.113187   0.04679161] | norm: none | MAP: 0.0598 |
|iter:   159/2500 | vec: [0.07035931 0.20162652 0.48377029 0.05635019 0.18789368] | norm: none | MAP: 0.0647 |
|iter:   160/2500 | vec: [0.75388757 0.05215557 0.06952067 0.06171919 0.06271701] | norm: none | MAP: 0.0575 |
|iter:   161/2500 | vec: [0.05341631 0.23263212 0.41940694 0.07708727 0.21745736] | norm: none | MAP: 0.0663 |
|iter:   162/2500 | vec: [0.29507734 0.04005715 0.13345876 0.41551697 0.11588978] | norm: none | MAP: 0.0613 |
|iter:   163/2500 | vec: [0.32975754 0.03235706 0.13437429 0.11351955 0.38999157] | norm: none | MAP: 0.0617 |
|iter:   164/2500 | vec: [0.02418685 0.23831647 0.1301483  0.16743798 0.43991039] | norm: none | MAP: 0.0732 |
|iter:   165/2500 | vec: [0.4407928  0.23281136 0.09663702 0.14977025 0.07998857] | norm: none | MAP: 0.0645 |
|iter:   166/2500 | vec: [0.05317371 0.18528367 0.08476621 0.63156294 0.04521347] | norm: none | MAP: 0.0724 |
|iter:   167/2500 | vec: [0.18829772 0.04812123 0.32011762 0.10940571 0.33405772] | norm: none | MAP: 0.0626 |
|iter:   168/2500 | vec: [0.21064745 0.49246824 0.13857426 0.09488464 0.06342541] | norm: none | MAP: 0.0736 |
|iter:   169/2500 | vec: [0.26503446 0.0851834  0.36906334 0.17542995 0.10528884] | norm: none | MAP: 0.0624 |
|iter:   170/2500 | vec: [0.08978516 0.11608149 0.04906966 0.42477214 0.32029156] | norm: none | MAP: 0.0693 |
|iter:   171/2500 | vec: [0.239671   0.1109937  0.55132197 0.03086045 0.06715289] | norm: none | MAP: 0.0625 |
|iter:   172/2500 | vec: [0.24093267 0.01689657 0.50604873 0.13158438 0.10453765] | norm: none | MAP: 0.0607 |
|iter:   173/2500 | vec: [0.22904868 0.4521155  0.00733348 0.17387489 0.13762745] | norm: none | MAP: 0.0682 |
|iter:   174/2500 | vec: [0.46047784 0.04966387 0.01180405 0.40914356 0.06891069] | norm: none | MAP: 0.0591 |
|iter:   175/2500 | vec: [0.16438518 0.18645046 0.0728675  0.2606527  0.31564417] | norm: none | MAP: 0.0696 |
|iter:   176/2500 | vec: [0.26707037 0.25364846 0.15648009 0.30172032 0.02108076] | norm: none | MAP: 0.0677 |
|iter:   177/2500 | vec: [0.06608421 0.00308443 0.12420218 0.41579431 0.39083487] | norm: none | MAP: 0.0616 |
|iter:   178/2500 | vec: [0.30294776 0.18342402 0.36628945 0.06444257 0.0828962 ] | norm: none | MAP: 0.0637 |
|iter:   179/2500 | vec: [0.07638134 0.108536   0.39164661 0.29151692 0.13191912] | norm: none | MAP: 0.0639 |
|iter:   180/2500 | vec: [0.15601358 0.04163457 0.09848893 0.24695679 0.45690613] | norm: none | MAP: 0.0631 |
|iter:   181/2500 | vec: [0.14089452 0.18757502 0.23640533 0.16524406 0.26988107] | norm: none | MAP: 0.0669 |
|iter:   182/2500 | vec: [0.1251558  0.22287343 0.22735232 0.27295893 0.15165952] | norm: none | MAP: 0.0679 |
|iter:   183/2500 | vec: [0.00301994 0.22957737 0.02828467 0.56011995 0.17899808] | norm: none | MAP: 0.0735 |
|iter:   184/2500 | vec: [0.00212254 0.06876218 0.26281732 0.25836329 0.40793466] | norm: none | MAP: 0.0645 |
|iter:   185/2500 | vec: [0.34670667 0.44693763 0.03668967 0.12823617 0.04142985] | norm: none | MAP: 0.0698 |
|iter:   186/2500 | vec: [0.19296668 0.12744221 0.04575412 0.25674902 0.37708796] | norm: none | MAP: 0.0669 |
|iter:   187/2500 | vec: [0.03514801 0.3801578  0.06717251 0.32847258 0.1890491 ] | norm: none | MAP: 0.0745 |
|iter:   188/2500 | vec: [0.12454395 0.09948526 0.35153597 0.15316301 0.27127181] | norm: none | MAP: 0.0640 |
|iter:   189/2500 | vec: [0.66127114 0.03835826 0.05805464 0.20237992 0.03993605] | norm: none | MAP: 0.0576 |
|iter:   190/2500 | vec: [0.02087395 0.37729406 0.2873797  0.27627393 0.03817835] | norm: none | MAP: 0.0722 |
|iter:   191/2500 | vec: [0.45000751 0.40379611 0.02235895 0.02092297 0.10291446] | norm: none | MAP: 0.0673 |
|iter:   192/2500 | vec: [0.1849952  0.06790467 0.01655492 0.19879693 0.53174828] | norm: none | MAP: 0.0632 |
|iter:   193/2500 | vec: [0.00517901 0.14901156 0.06702028 0.56578963 0.21299951] | norm: none | MAP: 0.0734 |
|iter:   194/2500 | vec: [0.40805033 0.28383239 0.19185519 0.01238262 0.10387947] | norm: none | MAP: 0.0655 |
|iter:   195/2500 | vec: [0.01412531 0.65695948 0.2146474  0.04580989 0.06845793] | norm: none | MAP: 0.0751 |
|iter:   196/2500 | vec: [0.08394418 0.20676161 0.06685296 0.57706703 0.06537422] | norm: none | MAP: 0.0733 |
|iter:   197/2500 | vec: [0.53772988 0.21375557 0.03369435 0.11602379 0.09879641] | norm: none | MAP: 0.0623 |
|iter:   198/2500 | vec: [0.55500052 0.06318722 0.11643498 0.04985362 0.21552366] | norm: none | MAP: 0.0602 |
|iter:   199/2500 | vec: [0.15917389 0.17365281 0.48125009 0.05731632 0.12860689] | norm: none | MAP: 0.0637 |
|iter:   200/2500 | vec: [0.16742428 0.14059776 0.16440506 0.48363039 0.04394251] | norm: none | MAP: 0.0656 |
|iter:   201/2500 | vec: [0.0661235  0.36474512 0.12492473 0.00120854 0.44299811] | norm: none | MAP: 0.0745 |
|iter:   202/2500 | vec: [0.31614475 0.06969684 0.07055411 0.48477176 0.05883254] | norm: none | MAP: 0.0615 |
|iter:   203/2500 | vec: [0.04575716 0.38981673 0.1051892  0.06489832 0.39433858] | norm: none | MAP: 0.0762 |
|iter:   204/2500 | vec: [0.00940685 0.57585647 0.03189138 0.05433089 0.3285144 ] | norm: none | MAP: 0.0589 |
|iter:   205/2500 | vec: [0.23587309 0.00234828 0.62811647 0.09687844 0.03678372] | norm: none | MAP: 0.0601 |
|iter:   206/2500 | vec: [0.07384919 0.2056804  0.35893928 0.19583793 0.1656932 ] | norm: none | MAP: 0.0665 |
|iter:   207/2500 | vec: [0.28148143 0.53390677 0.13445065 0.02018295 0.02997821] | norm: none | MAP: 0.0727 |
|iter:   208/2500 | vec: [0.2754606  0.28312036 0.13383988 0.09538752 0.21219163] | norm: none | MAP: 0.0686 |
|iter:   209/2500 | vec: [0.28789093 0.24083565 0.14884246 0.24017311 0.08225785] | norm: none | MAP: 0.0670 |
|iter:   210/2500 | vec: [0.39269414 0.32919638 0.16020672 0.01283692 0.10506584] | norm: none | MAP: 0.0672 |
|iter:   211/2500 | vec: [0.30160734 0.09138361 0.42971711 0.01645136 0.16084058] | norm: none | MAP: 0.0622 |
|iter:   212/2500 | vec: [0.03668415 0.18162518 0.0330407  0.04554761 0.70310236] | norm: none | MAP: 0.0711 |
|iter:   213/2500 | vec: [0.11608013 0.28508335 0.10258547 0.00957967 0.48667139] | norm: none | MAP: 0.0729 |
|iter:   214/2500 | vec: [0.21414212 0.30036397 0.00693839 0.09650419 0.38205133] | norm: none | MAP: 0.0713 |
|iter:   215/2500 | vec: [0.14985244 0.13711551 0.39079689 0.05964102 0.26259414] | norm: none | MAP: 0.0639 |
