| iter: 266/684 | topk: 160 | alpha: 0.7500000000000001 | MAP: 0.0645 |
| iter: 267/684 | topk: 160 | alpha: 0.8 | MAP: 0.0663 |
| iter: 268/684 | topk: 160 | alpha: 0.8500000000000001 | MAP: 0.0686 |
| iter: 269/684 | topk: 160 | alpha: 0.9000000000000001 | MAP: 0.0696 |
| iter: 270/684 | topk: 170 | alpha: 0.05 | MAP: 0.0568 |
| iter: 271/684 | topk: 170 | alpha: 0.1 | MAP: 0.0571 |
| iter: 272/684 | topk: 170 | alpha: 0.15000000000000002 | MAP: 0.0574 |
| iter: 273/684 | topk: 170 | alpha: 0.2 | MAP: 0.0579 |
| iter: 274/684 | topk: 170 | alpha: 0.25 | MAP: 0.0589 |
| iter: 275/684 | topk: 170 | alpha: 0.3 | MAP: 0.0593 |
| iter: 276/684 | topk: 170 | alpha: 0.35000000000000003 | MAP: 0.0597 |
| iter: 277/684 | topk: 170 | alpha: 0.4 | MAP: 0.0603 |
| iter: 278/684 | topk: 170 | alpha: 0.45 | MAP: 0.0610 |
| iter: 279/684 | topk: 170 | alpha: 0.5 | MAP: 0.0613 |
| iter: 280/684 | topk: 170 | alpha: 0.55 | MAP: 0.0618 |
| iter: 281/684 | topk: 170 | alpha: 0.6000000000000001 | MAP: 0.0624 |
| iter: 282/684 | topk: 170 | alpha: 0.6500000000000001 | MAP: 0.0628 |
| iter: 283/684 | topk: 170 | alpha: 0.7000000000000001 | MAP: 0.0636 |
| iter: 284/684 | topk: 170 | alpha: 0.7500000000000001 | MAP: 0.0645 |
| iter: 285/684 | topk: 170 | alpha: 0.8 | MAP: 0.0661 |
| iter: 286/684 | topk: 170 | alpha: 0.8500000000000001 | MAP: 0.0687 |
| iter: 287/684 | topk: 170 | alpha: 0.9000000000000001 | MAP: 0.0697 |
| iter: 288/684 | topk: 180 | alpha: 0.05 | MAP: 0.0568 |
| iter: 289/684 | topk: 180 | alpha: 0.1 | MAP: 0.0572 |
| iter: 290/684 | topk: 180 | alpha: 0.15000000000000002 | MAP: 0.0575 |
| iter: 291/684 | topk: 180 | alpha: 0.2 | MAP: 0.0580 |
| iter: 292/684 | topk: 180 | alpha: 0.25 | MAP: 0.0589 |
| iter: 293/684 | topk: 180 | alpha: 0.3 | MAP: 0.0593 |
| iter: 294/684 | topk: 180 | alpha: 0.35000000000000003 | MAP: 0.0598 |
| iter: 295/684 | topk: 180 | alpha: 0.4 | MAP: 0.0605 |
| iter: 296/684 | topk: 180 | alpha: 0.45 | MAP: 0.0611 |
| iter: 297/684 | topk: 180 | alpha: 0.5 | MAP: 0.0616 |
| iter: 298/684 | topk: 180 | alpha: 0.55 | MAP: 0.0620 |
| iter: 299/684 | topk: 180 | alpha: 0.6000000000000001 | MAP: 0.0626 |
| iter: 300/684 | topk: 180 | alpha: 0.6500000000000001 | MAP: 0.0630 |
| iter: 301/684 | topk: 180 | alpha: 0.7000000000000001 | MAP: 0.0638 |
| iter: 302/684 | topk: 180 | alpha: 0.7500000000000001 | MAP: 0.0647 |
| iter: 303/684 | topk: 180 | alpha: 0.8 | MAP: 0.0662 |
| iter: 304/684 | topk: 180 | alpha: 0.8500000000000001 | MAP: 0.0688 |
| iter: 305/684 | topk: 180 | alpha: 0.9000000000000001 | MAP: 0.0697 |
| iter: 306/684 | topk: 190 | alpha: 0.05 | MAP: 0.0570 |
| iter: 307/684 | topk: 190 | alpha: 0.1 | MAP: 0.0572 |
| iter: 308/684 | topk: 190 | alpha: 0.15000000000000002 | MAP: 0.0575 |
| iter: 309/684 | topk: 190 | alpha: 0.2 | MAP: 0.0579 |
| iter: 310/684 | topk: 190 | alpha: 0.25 | MAP: 0.0586 |
| iter: 311/684 | topk: 190 | alpha: 0.3 | MAP: 0.0592 |
| iter: 312/684 | topk: 190 | alpha: 0.35000000000000003 | MAP: 0.0597 |
| iter: 313/684 | topk: 190 | alpha: 0.4 | MAP: 0.0603 |
| iter: 314/684 | topk: 190 | alpha: 0.45 | MAP: 0.0609 |
| iter: 315/684 | topk: 190 | alpha: 0.5 | MAP: 0.0614 |
| iter: 316/684 | topk: 190 | alpha: 0.55 | MAP: 0.0619 |
| iter: 317/684 | topk: 190 | alpha: 0.6000000000000001 | MAP: 0.0624 |
| iter: 318/684 | topk: 190 | alpha: 0.6500000000000001 | MAP: 0.0630 |
| iter: 319/684 | topk: 190 | alpha: 0.7000000000000001 | MAP: 0.0639 |
| iter: 320/684 | topk: 190 | alpha: 0.7500000000000001 | MAP: 0.0648 |
| iter: 321/684 | topk: 190 | alpha: 0.8 | MAP: 0.0662 |
| iter: 322/684 | topk: 190 | alpha: 0.8500000000000001 | MAP: 0.0687 |
| iter: 323/684 | topk: 190 | alpha: 0.9000000000000001 | MAP: 0.0697 |
| iter: 324/684 | topk: 200 | alpha: 0.05 | MAP: 0.0572 |
| iter: 325/684 | topk: 200 | alpha: 0.1 | MAP: 0.0575 |
| iter: 326/684 | topk: 200 | alpha: 0.15000000000000002 | MAP: 0.0578 |
| iter: 327/684 | topk: 200 | alpha: 0.2 | MAP: 0.0581 |
| iter: 328/684 | topk: 200 | alpha: 0.25 | MAP: 0.0591 |
| iter: 329/684 | topk: 200 | alpha: 0.3 | MAP: 0.0594 |
| iter: 330/684 | topk: 200 | alpha: 0.35000000000000003 | MAP: 0.0597 |
| iter: 331/684 | topk: 200 | alpha: 0.4 | MAP: 0.0604 |
| iter: 332/684 | topk: 200 | alpha: 0.45 | MAP: 0.0611 |
| iter: 333/684 | topk: 200 | alpha: 0.5 | MAP: 0.0615 |
| iter: 334/684 | topk: 200 | alpha: 0.55 | MAP: 0.0619 |
| iter: 335/684 | topk: 200 | alpha: 0.6000000000000001 | MAP: 0.0626 |
| iter: 336/684 | topk: 200 | alpha: 0.6500000000000001 | MAP: 0.0630 |
| iter: 337/684 | topk: 200 | alpha: 0.7000000000000001 | MAP: 0.0638 |
| iter: 338/684 | topk: 200 | alpha: 0.7500000000000001 | MAP: 0.0648 |
